CountryName,CountryCode,ContinentCode,CenterLongitude,CenterLatitude,Population,gdp,Religion ,Politics ,Work
Albania,AL,EU,20,41,2896680,9600000000.00,0.683486239,0.510980592,0.93983822
Algeria,DZ,AF,3,28,39666520,142000000000.00,0.976515152,0.61842105,0.977660643
Argentina,AR,SA,-64,-34,43416760,334000000000.00,0.777414487,0.466331658,0.922032193
Canada,CA,NA,-96,60,35939930,1520000000000.00,0.69558676,0.581243731,0.843969849
Chile,CL,SA,-71,-30,17948140,182000000000.00,0.803625378,0.49283521,0.92520284
China,CN,AS,105,35,1376048940,3570000000000.00,0.370744681,0.700215285,0.853448276
Egypt,EG,AF,30,27,91508080,162000000000.00,0.993243243,0.590092402,0.902917505
India,IN,AS,77,20,1311050530,1110000000000.00,0.826608784,0.571007503,0.929369919
Indonesia,ID,AS,120,-5,257563820,571000000000.00,0.995,0.599400871,0.970883534
Iran,IR,AS,53,32,79109270,400000000000.00,0.936164802,0.600378788,0.929806714
Iraq,IQ,AS,44,33,36423400,104000000000.00,0.98241206,0.653645833,0.954040404
Japan,JP,AS,138,36,126573480,5670000000000.00,0.47,0.715141612,0.839473684
Mexico,MX,NA,-102,23,127017220,983000000000.00,0.882160804,0.592479675,0.957366297
Montenegro,ME,EU,19.2,42.8,625780,3440000000.00,0.702040816,0.526821862,0.86036961
Morocco,MA,AF,-5,32,34377510,73000000000.00,0.9865,0.457556936,0.967171717
Pakistan,PK,AS,70,30,188924870,150000000000.00,0.9405,0.436528497,0.881671702
Peru,PE,SA,-76,-10,31376670,106000000000.00,0.836086086,0.614048338,0.916918429
Philippines,PH,AS,122,13,100699400,157000000000.00,0.95975,0.655155155,0.98025
Saudi Arabia,SA,AS,45,25,31540370,462000000000.00,0.965863454,0.662930136,0.869509704
Serbia,RS,EU,21,43.8,8850980,34600000000.00,0.729420732,0.499492386,0.85681587
Singapore,SG,AS,103.8,1.37,5603740,171000000000.00,0.750500501,0.611167002,0.856136821
South Africa,ZA,AF,26,-30,54490410,322000000000.00,0.895645646,0.623225152,0.929435484
Korea (South),KR,AS,127.5,37,50293440,895000000000.00,0.64754509,0.641391391,0.8825
Spain,ES,EU,-4,40,46121700,1360000000000.00,0.63028169,0.489888777,0.855130785
Sweden,SE,EU,15,62,9779430,451000000000.00,0.558408862,0.646439318,0.855276382
Turkey,TR,AS,35,39,78665830,658000000000.00,0.928356713,0.550454087,0.883685801
Uganda,UG,AF,33,2,39032380,13700000000.00,0.918168168,0.654833837,0.932981928
United States,US,NA,-98,38,321773630,14400000000000.00,0.837098394,0.661735206,0.850300903
Viet Nam,VN,AS,106,16,93447600,85400000000.00,0.564566116,0.787886598,0.876006036
Zambia,ZM,AF,30,-15,16211770,10500000000.00,0.918168168,0.567686722,0.973196393
